#social|ソーシャルエンジニアリング|SOCIAL ENGINEERING|https://www.cisa.gov/secure-our-world/recognize-and-report-phishing|CISA：フィッシングの認識と報告
フィッシング|信頼できる組織を装い、偽の案内から認証情報などをだまし取る行為|メールのリンクを使わず正規アプリから通知を確認する|送信者の表示名が有名企業ならリンク先でログインする|不自然な催促は兆候の一つだが、文章が自然な偽メールもある|フィッシングメールには必ず誤字が含まれる|誤字の有無で真偽は確定できない。送信元と実際のリンク先、正規窓口を確認する|偽画面に入力した場合は正規経路で認証情報とセッションを保護する|偽画面を閉じれば入力済みのパスワードも回収できる
侵害範囲の特定|影響した利用者・機器・データ等の広がりを調べること|複数の記録を照合し範囲の仮説を更新する|最初に警告が出た機器だけが被害対象と断定する|検知時刻より前から侵害されている場合がある|検知した日時が必ず侵入開始の日時である|検知まで時間が空くことがある。前後の活動を調べて時系列を組み立てる|利用資格情報の他システムでの使用も確認する|その機器で不正プロセスが止まれば他の影響を調べない
机上演習|想定事故について参加者が対応の判断や手順を議論する訓練|現実的な条件で役割と連絡経路を試す|文書を配るだけで全担当の判断が一致したとする|技術操作を実際に行わず判断の問題を発見できる|机上演習で成功すればバックアップの復元性能も証明できる|判断の訓練と実機の性能検証は異なる。復元時間は実際の試験で確認する|誰が停止を判断するか等の曖昧さを記録する|参加者が出席したので手順の問題はなかったと結論する
侵害時の証拠優先度|揮発性や業務影響などに応じて情報収集の順を考えること|専門担当と安全確保を優先し取得順を決める|どんな状況でも証拠より先に強制電源断する|メモリーの情報は電源断で失われる場合がある|再起動してもメモリー上の証拠は必ずすべて残る|揮発性の情報は失われ得る。安全と封じ込めの必要性を含め適切な手順で判断する|行った操作とその時刻、理由を記録する|操作して環境が変わっても記録せず調査を続ける
#resilience|バックアップと事業継続|RECOVERY DOCK|https://www.cisa.gov/stopransomware|CISA：StopRansomware
3-2-1バックアップ|3つのコピー、2種類の媒体、1つの遠隔保管を基本にする考え方|異なる障害や侵害で同時に失わない構成を考える|同じ端末の同じディスクに3フォルダー作るだけで満たす|別拠点でも同じ管理資格情報の侵害には注意が必要である|別拠点にコピーすればアクセス権の分離は不要だ|物理的な分離と管理権限の分離は別であり、共通の侵害に備える|元データとコピーが同時に壊れる原因を洗い出す|コピーの個数だけ数えて保管場所と権限を調べない
オフラインバックアップ|通常のネットワークや端末から切り離して保管するコピー|更新後に切り離し保管と復元の手順を管理する|感染が疑われる端末へすべての保管媒体を順に接続する|接続した瞬間は不正な変更のリスクが生じる場合がある|普段オフラインなら接続中も絶対に感染や破壊を受けない|接続中は到達可能になる場合がある。安全な環境と接続手順が必要である|復元前に利用環境の安全とコピーの時点を確認する|媒体を保管庫に置いた事実だけで内容の健全性を保証する
イミュータブルバックアップ|一定条件で保存内容の変更や削除を制限するコピー|保持期間や管理権限の変更条件も確認する|名称にイミュータブルとあれば設定を確認しない|設定や保持期間の範囲で保護される仕組みである|イミュータブルなら保存期間が切れても永久に削除できない|保持期間やサービスの仕様で保護範囲が変わる。実際の条件を確認する|権限が侵害された場合にも保護が働くか検証する|通常の利用者で消せないので全管理者でも絶対に消せないとする
RPO|障害時に許容できるデータ損失の時間幅を表す目標|業務が許容する損失量に合わせ取得間隔を決める|サーバーが起動するまでの時間だけをRPOと呼ぶ|直近の利用可能なコピーの時点が損失量に影響する|RPOはサービスを復旧するための所要時間を意味する|復旧時間の目標はRTO。RPOは失ってよいデータの時間幅に関する目標である|実際の取得遅延や失敗を含め損失幅を確認する|予定した取得間隔だけで実現したRPOを断定する
RTO|障害から業務を再開するまでに許容される時間の目標|復元・切替・業務確認を含め実測する|コピーを取る間隔だけでRTOを満たしたとする|データ転送以外の準備や検証も復旧時間に含まれ得る|復元用データの転送が終わればRTOの検証は常に完了だ|業務再開までに必要な設定や確認も含め、定めた復旧範囲の時間を測る|依存サービスの復旧待ちも計画に含める|DBだけ復旧すれば認証サービスの停止は無関係とする
復元テスト|バックアップから必要な状態へ戻せるか実際に試すこと|隔離した環境で整合性と所要時間を確認する|取得成功ログだけで復元可能性を保証する|取得に成功していても復元に必要な鍵が欠ける場合がある|バックアップ完了の表示があれば復元試験は不要だ|コピーの作成と利用可能な状態への復元は別。鍵や手順を含め実際に検証する|必要な秘密情報と設定が復旧手順に含まれるか調べる|ファイル数が合えば業務データの整合性も正しいと断定する
スナップショット|ある時点の状態を記録し参照や復帰に使う仕組み|元の保存基盤との依存関係を確認する|すべてのスナップショットを独立した別拠点バックアップと見なす|同じ基盤上ではその基盤の障害に一緒に影響される場合がある|スナップショットは必ず元の装置が全損しても使える|保存場所と実装次第で元の装置に依存する。独立性を確認する|削除権限や保持期間を通常データと分けて評価する|名称だけで災害時の独立した復旧手段と判断する
フェイルオーバー|主系の障害時に待機系などへ処理を切り替えること|切替条件とデータ整合性を検証する|予備機があるだけで切替手順を確認しない|予備側にも同じ誤設定があれば共通の障害が起き得る|予備機を2台用意すればすべての共通原因障害を防げる|共通の電源・設定・依存先などがあれば同時に影響する。独立性も重要である|切替後の業務動作と元に戻す手順を試す|予備機の電源が入ることだけを復旧成功の基準にする
業務影響分析|業務停止などが組織に与える影響と優先度を整理する分析|重要な業務と依存関係、許容停止を把握する|機器の購入価格だけで復旧順を決める|安い機器でも重要業務の前提になることがある|高価なサーバーから戻せば常に業務影響を最小化できる|復旧順位は業務の依存関係や影響に基づき、価格だけでは決められない|認証や通信など共有の依存基盤も考慮する|目立つアプリだけ調べ共有基盤の停止を無視する
復旧用鍵の保管|暗号化バックアップ等を復元するための鍵を保全する運用|鍵も安全に回復できるよう別の保護された経路を用意する|唯一の復号鍵を暗号化されたバックアップの中にだけ入れる|データが残っていても鍵を失うと復元できない場合がある|暗号化バックアップは鍵をなくしても管理者なら必ず読める|適切な暗号化は管理者でも鍵なしに読めないことがある。鍵の回復計画が必要|担当者不在時にも承認手順を守って復旧できるか検証する|特定の担当者だけが記憶する鍵で全社の復旧を担う
#privacy|情報とプライバシー|DATA SANCTUARY|https://www.nist.gov/privacy-framework|NIST：Privacy Framework
データ最小化|利用目的に必要な範囲へ収集・利用するデータを絞ること|項目ごとに必要性を確認して不要な収集をやめる|将来使うかもしれない情報をすべて無期限に集める|持たないデータはその保管場所から流出しない|データは多く集めるほど必ずプライバシーリスクが下がる|収集が増えると守る範囲と影響も増え得る。目的と必要性を検討する|利用していない入力項目と保存項目を棚卸しする|取得時に説明したら不要情報をいつまでも保管する
保存期間管理|データを保管する期間と終了後の取扱いを定める運用|目的や要件に応じて期限と削除手順を管理する|すべてのデータを理由なく永久保存する|バックアップや複製にも保管の扱いを考える必要がある|本番DBで削除すれば全コピーから直ちに消える|複製やバックアップ、ログにも残る場合があるため全体のライフサイクルを管理する|データの複製先と削除の反映条件を確認する|画面に表示されなくなれば全保存先から削除されたとする
データ分類|機密性や重要度に応じて情報を区分すること|区分に応じた保存・共有・破棄の規則を定める|全情報に同じ名前のラベルを付けて扱いを考えない|分類は実際のアクセスや共有の判断に役立てる必要がある|機密というラベルを付ければアクセス制御も自動で完成する|ラベルだけでは保護が実施されない場合がある。実際の制御と運用に結び付ける|分類と共有設定が一致しているか確認する|機密と書いた文書を認証なしの公開場所へ置く
仮名化|識別情報を別の値に置き換え、対応情報等を分ける処理|対応表を別に保護して再結合を制限する|元の氏名と置換後のIDの対応表を同じ公開場所へ置く|対応情報等を使えば再び結び付けられる場合がある|氏名をIDに変えれば再識別の可能性は必ずゼロになる|対応表や他の情報との組合せで再識別される場合があるため、追加の管理が必要|置換したデータ以外に残る識別手掛かりを評価する|氏名欄だけ消したら住所や詳細履歴は自由に公開する
匿名化の再識別リスク|直接の識別子を除いても他の情報との組合せで個人を推測される危険|詳細度や組合せ、公開済み情報を含めて評価する|氏名だけ消せばすべてのデータが完全匿名とする|珍しい行動や属性の組合せが手掛かりになることがある|氏名がないデータからは個人を一切推測できない|氏名以外の属性や外部データの組合せが識別につながる場合がある|少数の人だけが該当する組合せの露出を確認する|直接の氏名欄がなければ自由に再配布する
DLP|機密情報の持ち出し等を検知・制限する対策|データの分類と利用経路に合わせ規則を調整する|DLPを入れたら利用者の権限管理をやめる|誤検知や監視できない経路は製品と設定で異なる|DLPがあれば機密情報はどの経路からも絶対に漏れない|監視範囲や形式には限界があり、アクセス管理や教育も必要である|正規業務の転送と不正な持ち出しを切り分ける|すべての送信を同じ理由で拒否して業務影響を確認しない
マスキング|表示や出力で情報の一部を隠したり置き換えたりすること|必要に応じてサーバー側で不要情報を送らない|完全なカード番号を送りCSSだけで見えなくする|表示を隠しても元データの保存や送信は別に確認する必要がある|画面の伏せ字は保存データ自体の暗号化を意味する|表示の加工と保存の暗号化は別の対策である。保護している範囲を確認する|API応答やログに元の値が残らないか調べる|画面が伏せ字なので通信や保存の確認を省く
安全な廃棄|媒体やデータを必要な水準で再取得しにくくする処理|媒体に適した消去・破壊方法と確認手順を選ぶ|ファイルをゴミ箱へ移すだけで機密媒体を譲渡する|SSD等では単純な上書きが全領域へ届くとは限らない|どの媒体でもファイル削除は完全な物理消去と同じだ|削除がデータを取得できなくするとは限らない。媒体の仕様に応じた方法が必要|廃棄の対象と実施記録を照合する|初期画面になったことだけで残存データがないと断定する
ログの機密情報|記録に含まれてしまう認証情報や個人の情報|秘密を記録しない設計と必要な伏せ字処理を行う|障害調査のため全パスワードを常にログへ出す|認証トークンがログから漏れる場合がある|内部ログなので秘密鍵を記録しても問題ない|ログの閲覧権限や転送先は本来の秘密の利用範囲と異なる場合がある|エラー経路でも秘密が出力されないか確認する|正常処理のログだけを見て漏えいがないと判断する
テストデータの分離|開発・検証で本番の機密データへ不要に依存しない設計|合成データや適切に加工したデータを利用する|本番顧客の全データを私物端末へ複製する|試験環境は本番より広い人がアクセスできる場合がある|開発目的なら本番の個人データを無条件で共有してよい|目的だけで必要性やアクセス範囲の検討は省けない。検証環境も保護する|データの必要性と試験担当者の閲覧範囲を確認する|開発用というフォルダー名だけで保護を免除する
#mobile|スマホ・Wi-Fi・IoT|WIRELESS QUARTER|https://owasp.org/www-project-mobile-top-10/|OWASP：Mobile Top 10
アプリ権限|カメラや連絡先等へのアクセスをアプリに許可する設定|機能に必要な権限だけを与え後から見直す|初回に求められた権限を用途を問わず全部許可する|一度の許可でも継続的なアクセスに使われる場合がある|権限の要求が表示されたら必ず許可しなければならない|不要な権限は拒否できる場合がある。何の機能に必要かを確認する|使わなくなったアプリの権限と本体を整理する|最近起動していないため付与した権限は無関係とする
サイドローディング|標準ストア以外の経路からアプリを導入すること|配布元と完全性、更新手段を慎重に確認する|メッセージで届いた未知のアプリを無確認で導入する|提供元の審査や更新経路が異なることを考える必要がある|ストア以外から入れたアプリは例外なく安全審査済みだ|配布元によって審査と更新の仕組みは異なり、正当性を確認する必要がある|公式に説明された配布経路か確かめる|拡張子がアプリ形式なら提供者を確認しない
MDM|組織のモバイル端末の設定や管理を統合する仕組み|管理範囲を定め端末紛失時などの手順を整える|管理対象であることを理由に画面ロックを無効化する|端末の設定やワイプ等の管理機能は方式により異なる|MDMに登録した端末はどんなマルウェアも感染しない|MDMは管理を支援する仕組みで、感染を万能に防ぐ保証ではない|管理プロファイルと適用された規則を確認する|管理画面に機器名があるだけで全設定の適用を保証する
端末暗号化|端末の保存データを鍵なしに読み取りにくくする保護|画面ロックと鍵の保護を組み合わせる|暗号化した端末を常にロック解除したまま放置する|ロック解除された環境での不正操作を全て防ぐものではない|保存データを暗号化すればログイン中の情報窃取も必ず防げる|復号可能なログイン中の環境では別の攻撃があり得る。アクセス管理も必要|紛失時のロック状態と回復手段を確認する|暗号化の表示だけで端末の利用状態を調べない
SIMスワップ|電話番号のSIM等を不正に再発行させ、受信を奪う手口|携帯契約の保護とSMS以外の強い認証方法も検討する|電話番号を使う回復があるのに契約の認証を放置する|SMSコードを使うアカウントへの影響があり得る|手元にスマホがあれば電話番号は第三者に使われない|契約側の不正な切替で番号の受信が移る可能性がある|突然の圏外や再発行通知を正規窓口で確認する|手元の機器が壊れていないので番号の乗っ取りを否定する
イービルツイン|正規のアクセスポイントに似せた無線接続先を用意する手口|施設の正しい接続情報と必要な認証を確認する|同じSSID名なら所有者も必ず同じと見なす|SSIDはネットワーク所有者の証明そのものではない|Wi-Fiの表示名が同じなら正規のアクセスポイントだ|他者も同じ名前を名乗れるため、表示名だけで接続先を認証しない|接続後の偽の認証画面や証明書警告にも注意する|いつものWi-Fi名なのでログイン要求を無条件に信用する
WPA3|無線LANの認証や暗号の保護を強化するセキュリティ仕様|対応状況と設定を確認し端末側も更新する|WPA3なら共有パスワードや管理者権限を公開してよいとする|安全性は接続モードや実装、運用にも依存する|WPA3を選べばアクセスポイントの更新は永久に不要だ|仕様の選択だけで実装や運用の問題は消えず、更新と設定管理が必要である|互換モードを含め実際の接続方式を把握する|箱にWPA3と書いてあるだけで運用中の設定を確認しない
Bluetoothペアリング|近距離無線の機器同士が接続の信頼関係を設定する手続き|意図した相手を確認し不要な登録を削除する|身に覚えのないペアリング要求を常に許可する|名前が同じ機器でも意図した実機とは限らない|表示される機器名だけでBluetooth相手の身元が保証される|機器名は真正性の十分な証明にならない。対応する確認手順を使う|会議室等で要求された機器を実機と照合する|近くからの要求なので信頼確認を省く
IoTの初期認証情報|出荷時から機器に設定された既知または共通の資格情報|初回設定で固有の強い秘密へ変更する|初期パスワードをラベルどおりに全機器で固定する|機器ごとに初期値が異なる製品でも適切な管理は必要である|カメラや家電の管理パスワードはネットワーク保護と無関係だ|接続機器の管理権限は侵害や横展開につながり得るため保護する|管理画面が必要以上に外部公開されていないか確認する|映像が見えるので管理者設定の確認を省く
サポート終了機器|更新や修正の提供が終了した機器やソフトウェア|更改や隔離、用途の縮小を計画する|動く限り脆弱性への対応は不要とする|既知の問題に修正が提供されない可能性がある|サポート終了後も新しい脆弱性の修正は必ず配布される|提供されない場合があるため、使い続けるリスクと移行計画を評価する|業務への依存と代替手段を棚卸しする|起動に成功したので保守状況を調べない
#design|認可と安全設計|TRUST ARCHITECTURE|https://csrc.nist.gov/pubs/sp/800/207/final|NIST：ゼロトラストアーキテクチャ
ゼロトラスト|場所等だけで暗黙に信用せず、資源へのアクセスを明示的に評価する考え方|利用者・端末・資源の条件を基に権限を検証する|社内IPからのアクセスには認証と認可を省く|社内ネットワーク内であることだけを信頼の根拠にしない|ゼロトラストとは社内の人間をすべて不正者と決めることだ|人への決めつけではなく、アクセスを暗黙に許可しない設計の考え方である|重要な要求ごとに許可条件が適切か確認する|入口で1回確認したら以後どの資源も無制限に許可する
RBAC|担当する役割に権限を割り当てるアクセス制御|実際の職務に対応する役割を整理して割り当てる|異動後もすべての過去の役割を残し続ける|役割の数や内容が実務に合わないと過大権限になり得る|RBACを使えば役割の棚卸しは不要になる|役割や担当は変化するため、現在の必要性に合わせて見直す|退職や異動に合わせた役割解除を確認する|役割名が一般社員なら具体的な権限を確認しない
ABAC|利用者や資源、環境などの属性を基に許可を判断する方式|信頼できる属性を使い規則の整合性を検証する|利用者が自由に書き換えられる管理者属性をそのまま信用する|属性の入手元が信頼できることも重要である|ABACの属性は利用者の自己申告をすべて信頼してよい|認可に使う属性は改変可能性を考慮し、信頼できる情報源から得る|条件の組合せと属性欠落時の挙動をテストする|属性がなければ常に管理者扱いにして処理する
デフォルト拒否|明示的に許可されない操作を原則として拒否する設計|必要な許可を明確にして追加時も検証する|未登録の新しい操作をすべて自動で許可する|機能追加時の許可漏れが無制限アクセスになりにくい|設定が見つからない場合は常に許可した方が安全だ|未知の操作を許可すると意図しないアクセスにつながる。安全な既定値を設計する|新しいエンドポイントにも認可が適用されるか確認する|既存機能が動くので追加機能の既定権限は調べない
職務分離|重要な処理の権限や承認を複数の役割へ分ける仕組み|申請と承認等で独立した確認を設ける|同じ共有アカウントで申請者と承認者を兼ねる|不正や誤操作を1人だけで完結させにくくする目的がある|承認ボタンを2回押せば担当者が同じでも職務分離になる|回数ではなく独立した権限や役割の分離が重要である|同一人物が別アカウントで自分の申請を承認できないか確認する|画面が2つに分かれているだけで承認の独立性を保証する
認可のTOCTOU|確認した時点と使用する時点の状態の違いで判断が崩れる問題|確認と更新を適切に一体化し競合を管理する|最初に確認した結果を状態が変わっても永久に信用する|同時実行で確認後に対象の状態が変わる場合がある|権限や残高を1回確認すれば並列処理でも常に整合する|確認と使用の間に状態が変わり得る。トランザクション等で適切な単位を守る|並行した要求で制約が破れないか検証する|1件ずつ成功したテストだけで競合がないとする
多層防御|独立した複数の対策を重ね、一つの失敗に備える考え方|異なる失敗要因を補う制御を組み合わせる|同じ誤設定の装置を増やすだけですべてを防ぐ|複数対策が同じ原因で失敗する可能性も考える必要がある|対策の数が多ければ必ず独立した防御になる|共通の権限や設定に依存すると同時に失敗し得る。独立性を確認する|一つの対策が失敗した時の影響を検証する|同じ共有鍵を全防御で使い独立性があると評価する
フェイルセキュア|故障や例外時にも許可判断等を安全な状態にする設計|認可サービスの障害時の扱いを業務要件とともに定める|権限確認が失敗したら全リクエストを管理者として通す|可用性や人命への影響との両立も考慮する必要がある|認可処理で例外が出たら無条件で許可するのが安全だ|確認不能を許可と同一視すると権限が破れる。安全な障害時の動作を設計する|依存サービス停止時のアクセス判定を検証する|正常時にだけ権限確認が動けば障害経路を省く
OAuthのスコープ|委任されたアクセスで許す操作等の範囲を表す指定|機能に必要な最小範囲だけを要求する|単純な表示機能のため全データの削除権限を求める|認可への同意とアプリ自体の信頼性の評価は別である|利用者が同意したOAuthアプリには本質的に悪意がない|不正なアプリも同意を誘導できる。必要な権限と提供者を確認する|不要な連携を解除し過大なスコープを見直す|同意画面が公式サービスにあるだけで相手アプリを信頼する
PKCE|OAuthの認可コードと交換するクライアントを検証値で結び付ける仕組み|推奨されたチャレンジ方式と適切な検証を使う|公開クライアントに埋めた固定秘密だけへ依存する|認可コードの横取りを抑える目的がある|PKCEを使えば転送先の検証やstate等の検討が一切不要になる|PKCEは特定の脅威への対策で、転送先やフロー全体の保護を置き換えるものではない|正しい検証値なしにコード交換が成功しないか確認する|チャレンジを送っただけでサーバー側の照合は省く
#forensics|調査とデジタル証拠|FORENSIC LAB|https://csrc.nist.gov/pubs/sp/800/86/final|NIST：フォレンジックの事故対応への統合
チェーンオブカストディ|証拠の取得・保管・受け渡しの経緯を追跡する記録|誰がいつ何を扱ったかを記録する|証拠を担当者間で記録なしに渡し続ける|証拠の信頼性を評価する際の手掛かりになる|証拠のハッシュがあれば取扱い経緯の記録は不要だ|完全性の確認と保管経緯の説明は異なる。両方を適切に管理する|取得担当と保管先、受け渡し時点を照合する|内容が読めることだけで証拠管理が適切と判断する
フォレンジックイメージ|調査対象の媒体内容を解析のために複製したもの|原本の変更を抑え検証できる形で取得する|原本に直接書き込みながら唯一の証拠を調べる|取得方式によって含まれる範囲が異なる|ファイルコピーはどんな場合も媒体全体のイメージと同じだ|論理コピーと媒体のイメージでは取得範囲が異なる。目的に合う方法を選ぶ|取得した範囲と使った方法を記録する|複製があるというだけで未使用領域も含まれると断定する
ライトブロッカー|調査対象の媒体への書き込みを抑えるための装置や仕組み|対応媒体と動作を確認して使う|接続しただけでどんな装置にも必ず有効とする|取得時の意図しない原本変更を抑えるのに役立つ|ライトブロッカーを使えば証拠の取得記録は不要になる|書き込み抑制と取扱いの記録は別の要件である|取得前後の状態と検証値を記録する|装置名が表示されていれば動作の検証を省く
証拠のハッシュ検証|証拠データの要約値を比較して一致等を確認する処理|取得時と保管・分析時の値を適切に比較する|比較元も同時に書き換えられる場所へ無保護で置く|一致は同一性を確認する助けだが取得内容の真実性まで保証しない|ハッシュが一致すれば記録された出来事はすべて事実だ|ハッシュはデータの一致等を確認する手段で、元の記録の真偽を保証しない|元の検証値の保管と取得経緯も確認する|値が同じなので収集元の時計や改変の可能性を調べない
揮発性データ|電源断や時間経過等で消える可能性が高い実行時の情報|安全と業務影響を踏まえ適切な順で収集する|すべてディスクに残るとして再起動を繰り返す|実行中のプロセスや接続の情報が調査に役立つ場合がある|揮発性データは再起動すれば元の状態へ復元される|再起動で失われる情報があるため、収集の必要性と影響を判断する|操作により変わる情報を意識して記録する|現在の表示だけを過去の実行状態そのものとみなす
タイムライン分析|異なる証跡を時系列へ整理し活動の前後関係を検討する方法|時刻のずれと記録元の意味を考慮して統合する|時刻の数字だけを並べ因果関係まで断定する|前後の順序だけで原因と結果を確定できるとは限らない|時刻が近い2つのイベントは必ず因果関係がある|時間的な近さは手掛かりだが、関係を示す別の証拠も必要である|タイムゾーンとイベントが表す時点を確認する|ログ受信時刻と操作発生時刻を区別せず使う
プロセスツリー|親子関係でプログラムの起動経路を表したもの|親子の関係と引数、利用者を合わせて調べる|実行ファイル名だけで全動作を正常と判断する|文書閲覧アプリから不自然な子プロセスが起動する場合がある|正規の実行ファイル名なら起動経路は調べなくてよい|正規ツールも悪用され得るため、起動元や引数等の文脈を確認する|通常の業務と異なる起動関係を照合する|名前がOS標準なので利用者や親プロセスを無視する
ネットワークフロー記録|通信元・通信先・時刻・量等の通信概要を記録したもの|保存される項目と観測地点を理解して分析する|通信量の記録だけから本文全文を復元できると考える|一般的なフロー記録には通信本文が含まれない|フロー記録があれば送信したファイルの本文を必ず読める|通信概要と本文は別。記録された範囲を超える内容を断定しない|大きな転送の宛先と端末の用途を確認する|転送量が大きいというだけで機密情報の流出を確定する
証拠と仮説の分離|観測した事実とその説明としての推測を区別して扱うこと|根拠と未確認事項を明示して仮説を検証する|疑った原因を初めから確認済みの事実として書く|別の説明と比較すると早合点を防ぎやすい|最初の仮説は後の証拠と矛盾しても維持するべきだ|証拠に応じて仮説を修正する。初期の推測に固執しない|反証する可能性のある記録も調べる|仮説に合うログだけを集め残りを無視する
調査用コピーの管理|分析時に使う証拠の複製とアクセスを管理すること|必要な人だけに許可して作業経緯を残す|調査用なら機密情報を含むコピーを全員へ無制限に配る|調査データにも利用者の情報や秘密が含まれ得る|調査目的のコピーは情報保護の対象から外れる|目的が調査でもデータの機密性は残る。共有・保管・廃棄を適切に管理する|調査終了後の保管と廃棄の要件を確認する|案件終了後もすべての作業用コピーを理由なく永久保存する
#ai|AIと新しい攻撃面|SYNTHETIC CORE|https://genai.owasp.org/llm-top-10/|OWASP：生成AIのセキュリティ
プロンプトインジェクション|信用できない入力内の指示でAIの本来の処理を変えさせる攻撃|外部内容をデータとして扱い操作の権限を別に制御する|取得した文書の指示を利用者の許可と同等に扱う|検索したページや添付文書が攻撃の入り口になる場合がある|外部文書に書かれた指示は利用者の依頼より優先する|外部内容は利用者の権限や意図を代弁しない。データと操作指示を区別する|文書内の送信依頼を承認済みの操作と混同しない|検索結果にある宛先へ確認なしで秘密を送る
間接プロンプトインジェクション|AIが参照する外部資料等に指示を埋め込むタイプの攻撃|取得した情報の出所と信頼境界を保つ|検索結果に含まれた命令をシステムの指示へ昇格させる|直接入力した利用者が善意でも外部資料から混入し得る|利用者が攻撃文を入力しなければAIへの指示注入は起こらない|外部のページや文書をAIが読む経路も攻撃面になる|外部文書を読んだ後の権限行使を独立して確認する|信頼する利用者の検索なので結果内の指示も信頼する
過剰なエージェント権限|AIが目的に必要な範囲を超える操作権限を持つ問題|利用するツールと資源の権限を最小化する|要約だけのAIへ全データ削除の権限を与える|モデルの誤判断の影響はツール権限にも左右される|モデルへ丁寧に注意すればツールの権限管理は不要だ|文章による指示だけに頼らず、実際の権限と操作境界を制限する|破壊や送信などの重要操作に適切な確認を設ける|AIが自信を示したら広い操作権限を無条件で与える
RAGの認可境界|検索拡張で参照する文書を利用者の許可範囲に制限する設計|検索時と回答生成で対象文書の権限を守る|全社員の文書を全利用者へ無条件で検索可能にする|生成文だけ隠しても検索段階で情報が露出する場合がある|文書をベクトル化すれば元のアクセス権は不要になる|検索用の表現に変えても情報の権限は残る。利用者ごとの境界を維持する|別のテスト利用者の非公開文書が検索されないか検証する|タイトルを隠しただけで本文の参照を許可する
学習データポイズニング|学習等のデータを汚染しモデルの振る舞いへ悪影響を与える行為|データの取得元と変更履歴、品質を管理する|外部から届いた学習データを無確認で取り込む|不適切なデータは性能や安全性の偏りを生む場合がある|学習データが大量なら少数の悪意ある変更は評価不要だ|量だけで影響を否定できない。目的や変更箇所を含め評価する|投入前後の性能と特定の条件での挙動を確認する|全体平均が同じなら特定条件の異常を無視する
AI出力の未検証利用|生成結果を確認せずコードや外部処理等へ渡す問題|出力を用途に応じて検証し安全なAPIへ渡す|生成された文字列を無条件に実行する|モデルが生成した文字列にも危険なコードや誤りがあり得る|AIが生成したHTMLは利用者入力と違い無条件に安全だ|出力も信用しないデータとして扱い、表示や実行の文脈に応じて検証する|生成結果が触れるファイルや操作の範囲を制限する|自然な説明が付いていれば生成コードを未確認で本番実行する
AIへの機密入力|外部AIサービス等へ渡す秘密や個人情報を管理する課題|必要性と契約・設定上の取扱いを確認して情報を絞る|利用条件を見ず本番の秘密鍵を全て入力する|保存や学習利用の条件はサービスと設定によって異なる|どのAIサービスも入力データを絶対に保存しない|サービスや設定で取扱いが異なるため、現行の条件を確認する|不要な識別情報や資格情報を入力から除く|便利な回答が得られるなら送信するデータを検討しない
ハルシネーション|モデルが事実と異なる内容をもっともらしく生成する現象|重要な事実や引用先を一次資料で検証する|断定口調なら情報を必ず正しいと判断する|存在しない資料やAPI名が生成される場合がある|AIの回答にURLがあればその資料は必ず実在する|URLや引用自体が誤っている可能性がある。資料の実在と支持内容を確認する|引用先を開き主張との対応を確認する|整った書式で引用されているだけで確認を省く
モデル窃取|モデルの情報や機能を不正に取得・複製しようとする行為|アクセスや利用量、モデル資産の権限を管理する|非公開モデルの重みを認証なしで配布する|APIの濫用と重みの直接流出では対策が異なる|APIを公開したらモデルの内部重みも必ず全員へ配られる|推論APIの公開と重みの配布は別で、取得される資産を区別する|アクセスパターンと資産保管への権限を確認する|APIに応答があるのでモデルファイルも公開済みと決めつける
AIサービスの利用量制御|トークンやツール実行等の消費を管理すること|要求サイズ・回数・処理連鎖に上限を設ける|1回のリクエストで無限にツール実行を続けられるようにする|長い入力や自動処理の連鎖で費用が増大する場合がある|利用者を認証すればAIへの費用攻撃を考えなくてよい|認証済みアカウントでも濫用や侵害がある。利用量と操作を制限する|外部API連鎖を含めた費用と停止条件を監視する|画面で1回の操作なので内部の呼出し数は確認しない
#assessment|検証・脆弱性・倫理|WHITEHAT ACADEMY|https://csrc.nist.gov/pubs/sp/800/115/final|NIST：技術的セキュリティ評価
許可されたセキュリティ検証|所有者等の承認と範囲に従って安全性を調べる活動|対象・日時・方法・停止条件を事前に合意する|公開サイトなら他人の環境を無制限に試してよいとする|閲覧できることと検査への許可は同じではない|インターネットに公開されたサーバーには検査の許可がある|公開は検査への承認を意味しない。権限を持つ相手と範囲を合意する|許可の範囲を超える可能性が出たら一度停止して確認する|学習目的なら合意した範囲を超えても問題ないと考える
検査スコープ|セキュリティ評価で許可する対象や手法等の範囲|資産・除外対象・時間帯を明確にする|同じ会社名が付く全サーバーを自動で対象に加える|委託先や共有基盤は別途許可が必要な場合がある|1つのドメインの許可があれば全関連会社も検査できる|許可は合意した範囲に限られる。関連性だけで対象を広げない|対象が共有サービスと分かったら条件を再確認する|同じロゴが出るので別サービスにも許可があるとする
脆弱性スキャン|既知の弱点や設定上の問題をツール等で検出する検査|許可された対象で影響を考えて実施する|スキャンは必ず無負荷だとして本番の許可を省く|検出結果に誤検知や未確認の項目が含まれ得る|スキャナーの検知はすべて悪用可能性が確認済みである|検出は手掛かりであり、版や設定、実際の条件を確認する必要がある|対象の稼働と検出根拠を確認して優先順位を付ける|検出名だけを見て業務停止の判断まで自動で確定する
